twitter,domain,name,type,personality
katyperry,katyperry.com,katy perry,celebrity,esfp
justinbieber,smarturl.it,justin bieber,celebrity,esfp
taylorswift13,grmypro.co,taylor swift,celebrity,esfj
rihanna,rihannanow.com,rihanna,celebrity,isfp
jtimberlake,justintimberlake.com,justin timberlake,celebrity,isfp
TheEllenShow,ellentube.com,ellen degeneres,celebrity,enfp
britneyspears,britney.lk,britney spears,celebrity,isfp
Cristiano,,cristiano ronaldo,celebrity,esfp
katyperry,katyperry.com,katy perry,celebrity,esfp
justinbieber,smarturl.it,justin bieber,celebrity,esfp
taylorswift13,grmypro.co,taylor swift,celebrity,esfj
rihanna,rihannanow.com,rihanna,celebrity,isfp
jtimberlake,justintimberlake.com,justin timberlake,celebrity,isfp
TheEllenShow,ellentube.com,ellen degeneres,celebrity,enfp
britneyspears,britney.lk,britney spears,celebrity,isfp
Cristiano,,cristiano ronaldo,celebrity,esfp
shakira,rov.io,shakira,celebrity,esfp
JLo,jlo.lk,jennifer lopez,celebrity,esfj
ArianaGrande,smarturl.it,ariana grande,celebrity,esfj
ddlovato,demilovato.com,demi lovato,celebrity,enfj
jimmyfallon,tonightshow.com,jimmy fallon,celebrity,esfj
Oprah,oprah.com,oprah winfrey,celebrity,enfj
Pink,,p!nk,celebrity,estp
BillGates,gatesnotes.com,bill gates,celebrity,intp
KingJames,LeBronJames.com,lebron james,celebrity,esfj
BrunoMars,brunomars.com,bruno mars,celebrity,esfp
Adele,adele.com,adele,celebrity,entj
NiallOfficial,onedirectionmusic.com,niall horan,celebrity,estp
aliciakeys,aliciakeys.com,alicia keys,celebrity,infp
KevinHart4real,whatnowtour.com,kevin hart,celebrity,esfp
pitbull,youtube.com,pitbull,celebrity,estj
Louis_Tomlinson,,louis tomlinson,celebrity,enfp
NICKIMINAJ,,nicki minaj,celebrity,esfp
neymarjr,neymaroficial.com,neymar jr,celebrity,esfp
AvrilLavigne,smarturl.it,avril lavigne,celebrity,isfp
ConanOBrien,teamcoco.com,conan o'brien,celebrity,entp
aplusk,,ashton kutcher,celebrity,istp
kourtneykardash,,kourtney kardashian,celebrity,istp
iamsrk,,shah rukh khan,celebrity,entp
MariahCarey,mariahcarey.com,mariah carey,celebrity,esfj
xtina,christinaaguilera.com,christina aguilera,celebrity,isfp
JimCarrey,jimcarrey.com,jim carrey,celebrity,enfp
kanyewest,KANYEWEST.COM,kanye west,celebrity,enfp
LeoDiCaprio,leonardodicaprio.com,leonardo dicaprio,celebrity,esfp
ParisHilton,ParisHilton.com,paris hilton,celebrity,esfp
KendallJenner,,kendall jenner,celebrity,istp
tyrabanks,tyra.com,tyra banks,celebrity,esfj
SnoopDogg,YouTube.com,snoop dogg,celebrity,istp
KylieJenner,,kylie jenner,celebrity,esfp
DaniloGentili,danilogentili.com,danilo gentili,celebrity,estp
charliesheen,charliesheen.com,charlie sheen,celebrity,estp
andresiniesta8,andresiniesta.es,andrés iniesta,celebrity,isfj
LucianoHuck,globo.com,luciano huck,celebrity,estj
rustyrockets,russellbrand.com,russell brand,celebrity,enfp
tomhanks,playtone.com,tom hanks,celebrity,entp
rickygervais,rickygervais.com,ricky gervais,celebrity,entp
CMYLMZ,cmylmz.com,cem yılmaz,celebrity,entp
nickjonas,nickjonas.com,nick jonas,celebrity,istp
StephenAtHome,,stephen colbert,celebrity,infp
VictoriaJustice,vjustice.co,victoria justice,celebrity,enfj
lindsaylohan,official.lindsaylohan.com,lindsay lohan,celebrity,esfp
JColeNC,dreamvillain.net,j. cole,celebrity,infj
MirandaCosgrove,,miranda cosgrove,celebrity,isfj
jennettemccurdy,,jennette mccurdy,celebrity,isfp
Zendaya,crowdrise.com,zendaya,celebrity,infj
KrisJenner,krisjenner.com,kris jenner,celebrity,estj
RealHughJackman,,hugh jackman,celebrity,enfj
IGGYAZALEA,iggyazalea.com,iggy azalea,celebrity,istp
ninadobrev,ninadobrev.com,nina dobrev,celebrity,enfj
SergioRamos,sergioramos.com,sergio ramos,celebrity,estp
LanaDelRey,lanadelrey.com,lana del rey,celebrity,isfp
officialjaden,MSFTSrep.com,jaden smith,celebrity,enfp
TomCruise,TomCruise.com,tom cruise,celebrity,istp
kendricklamar,txdxe.com,kendrick lamar,celebrity,infj
elliegoulding,elliegoulding.com,ellie goulding,celebrity,isfj
SamuelLJackson,samuelljackson.com,samuel l. jackson,celebrity,estp
MikeTyson,miketyson.com,mike tyson,celebrity,isfp
AnnaKendrick47,,anna kendrick,celebrity,entp
TiagoLeifert,,tiago leifert,celebrity,isfj
yokoono,IMAGINEPEACE.com,yoko ono,celebrity,infj
DjokerNole,mobile.novakdjokovic.com,novak djokovic,celebrity,estp
msleamichele,,lea michele,celebrity,enfj
piersmorgan,,piers morgan,celebrity,estj
MonsieurDream,cyprien.fr,cyprien,celebrity,estj
KevinSpacey,kevinspacey.com,kevin spacey,celebrity,estp
OzzyOsbourne,ozzy.com,ozzy osbourne,celebrity,enfp
tonyhawk,about.me,tony hawk,celebrity,istp
Caradelevingne,iamcaradelevingne.tumblr.com,cara delevingne,celebrity,enfp
dylanobrien,imdb.com,dylan o'brien,celebrity,enfp
rogerfederer,rogerfederer.com,roger federer,celebrity,isfj
lordemusic,lordemusic.tumblr.com,lorde,celebrity,isfp
giseleofficial,giselebundchen.com,gisele bündchen,celebrity,enfj
heidiklum,heidiklum.com,heidi klum,celebrity,estj
RobertsEmma,,emma roberts,celebrity,esfj
Slash,slashonline.com,slash,celebrity,istp
sethmeyers,,seth meyers,celebrity,isfj
billmaher,billmaher.com,bill maher,celebrity,entp
JerrySeinfeld,jerryseinfeld.com,jerry seinfeld,celebrity,intj
Caitlyn_Jenner,caitlynjenner.com,caitlyn jenner,celebrity,istj
troyesivan,troye.si,troye sivan,celebrity,isfp
StephenCurry30,Stephencurry30.com,stephen curry,celebrity,estp
theweeknd,theweeknd.co,the weeknd,celebrity,isfp
IAmSteveHarvey,iamsteveharvey.com,steve harvey,celebrity,esfj
prattprattpratt,,chris pratt,celebrity,enfp
ChrisEvans,,chris evans,celebrity,esfj
drdre,drdre.com,dr. dre,celebrity,entj
LizGillies,youtube.com,elizabeth gillies,celebrity,entj
TonyRobbins,tonyrobbins.com,tony robbins,celebrity,entj
GordonRamsay,gordonramsay.com,gordon ramsay,celebrity,estj
kingsthings,ora.tv,larry king,celebrity,estj
DAVID_LYNCH,davidlynch.com,david lynch,celebrity,infp
PaulMcCartney,PaulMcCartney.com,paul mccartney,celebrity,esfj
twhiddleston,,tom hiddleston,celebrity,infp
MrsSOsbourne,sharonosbourne.com,sharon osbourne,celebrity,estj
esmuellert_,es-muellert-wieder.de,thomas müller,celebrity,entp
Stromae,stromae.net,stromae,celebrity,infp
smoshanthony,SMOSHTheMovie.com,anthony padilla,celebrity,enfj
